,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
5030,0,1,2,3,0,3,0,2,3,0.1984092522161356,1.1684142886025564,0.7715957841702852,2___3___4,simulated,simulated,simulated
10628,0,1,2,2,3,2,0,3,2,0.19840386654113162,1.2174937757764857,0.8206860426942224,2___3___4,simulated,simulated,simulated
4267,0,1,2,2,2,2,0,3,2,0.19840082099310852,1.0958485042951591,0.6990468623089421,2___3___4,simulated,simulated,simulated
7633,0,1,2,0,0,3,1,3,2,0.1984001160651827,0.9441116251848977,0.5473113930545322,2___3___4,simulated,simulated,simulated
4491,0,1,1,2,3,0,2,0,0,0.19838445023774054,1.2246836054698635,0.8279147049943825,2___2___4,simulated,simulated,simulated
6300,0,1,2,1,3,2,2,1,2,0.19837898220698502,1.21284607699369,0.8160881125797199,2___3___4,simulated,simulated,simulated
19759,0,1,1,1,2,3,2,4,5,0.19836477554829246,1.2046988494740813,0.8079692983774964,2___1___6,simulated,simulated,simulated
2080,0,1,2,0,1,1,2,0,2,0.1983647302575926,0.9282572094793127,0.5315277489641275,2___2___3,simulated,simulated,simulated
12744,0,1,0,0,2,3,3,4,0,0.19835475640546885,1.0549634770897212,0.6582539642787835,2___3___5,simulated,simulated,simulated
6123,0,1,2,3,0,0,3,1,2,0.19835033330386098,1.1961024240444442,0.7994017574367223,2___2___4,simulated,simulated,simulated
10512,0,0,0,1,2,0,3,3,1,0.1983463152841365,0.9964563037693243,0.5997636732010513,2___2___4,simulated,simulated,simulated
1471,0,1,2,0,1,2,0,0,2,0.1983413041486719,0.823585657459915,0.42690304916257116,2___2___3,simulated,simulated,simulated
4863,0,1,0,2,0,2,3,1,0,0.19833178266643214,1.1598738300840425,0.7632102647511783,2___2___4,simulated,simulated,simulated
12166,0,0,1,0,0,2,3,2,4,0.19831104226879437,0.703430127945725,0.3068080434081363,2___2___5,simulated,simulated,simulated
4486,0,1,2,1,3,3,0,1,3,0.19831075095110107,1.1249478528987873,0.7283263509965852,2___2___4,simulated,simulated,simulated
3669,0,1,2,0,3,0,1,3,1,0.19831060807435108,1.0338608410111987,0.6372396248624965,2___3___4,simulated,simulated,simulated
16399,0,1,2,1,3,0,2,2,4,0.1983088400339479,1.2324388707764775,0.8358211907085817,2___1___5,simulated,simulated,simulated
6899,0,1,2,0,3,1,1,0,1,0.19828473434072302,1.0122116089896878,0.6156421403082417,2___3___4,simulated,simulated,simulated
10733,0,1,0,1,2,2,3,3,0,0.19828309882234807,1.1588233758046262,0.7622571781599301,2___2___4,simulated,simulated,simulated
5143,0,1,2,0,2,3,0,3,0,0.19828139511044007,0.9714876345469236,0.5749248443260434,2___2___4,simulated,simulated,simulated
14362,0,1,0,2,3,1,0,0,4,0.1982808983615647,1.1608632925415132,0.7643014958183838,2___2___5,simulated,simulated,simulated
6190,0,1,2,1,1,2,2,3,0,0.19827742032885842,1.1047637243747876,0.7082088837170708,2___2___4,simulated,simulated,simulated
13602,0,1,2,1,0,1,3,0,4,0.19827334582537381,1.1150764340000143,0.7185297423492667,2___2___5,simulated,simulated,simulated
9453,0,1,2,0,2,2,2,3,0,0.1982535882120704,1.021337360184686,0.6248301837605452,2___2___4,simulated,simulated,simulated
10864,0,1,2,2,1,3,0,1,2,0.19824713317113973,1.1381202368548307,0.7416259705125512,2___2___4,simulated,simulated,simulated
16528,0,1,2,1,1,3,1,4,4,0.1982421565218726,1.0803455080609463,0.6838611950172011,2___3___5,simulated,simulated,simulated
9737,0,1,2,0,2,2,2,2,3,0.19822920315616133,0.9835563760284796,0.5870979697161569,2___2___4,simulated,simulated,simulated
3315,0,1,2,0,2,1,2,3,1,0.1982235323679966,1.0332663088638798,0.6368192441278866,2___3___4,simulated,simulated,simulated
425,0,1,2,0,1,2,0,2,1,0.19821341037609863,0.8574966006507256,0.4610697798985284,2___2___3,simulated,simulated,simulated
