,place,goal,source,real,simulated,optimal,real_sd,simulated_sd,optimal_sd,real_minus_opt_resid,real_minus_opt_resid_sq,real_minus_sim_resid,real_minus_sim_resid_sq,dist_to_hull,dist_to_hull_sq,prior_spec,mu,gamma
0,0,-0.789473684,-1.842105263,0.803283086,0.766496024,0,0.21395012,0.142938614,0,0,0,-20.1608237,6.327301891,3.450825364,0.151868859,place_place_place,0.3,2
0,0,0.789473684,1.842105263,0.803283086,0.766496024,0,0.21395012,0.142938614,0,0,0,-20.1608237,6.327301891,3.450825905,0.151868859,place_place_place,0.3,2
0,0,-0.789473684,0.789473684,0.729908363,0.676072124,0,0.17200303,0.132204661,0,0,0,-12.09631257,3.156384686,3.491128763,0.1327322,source_place_goal,0.3,2
0,0,0.789473684,-0.789473684,0.729908363,0.676072124,0,0.17200303,0.132204661,0,0,0,-12.09631257,3.156384686,3.491128847,0.1327322,source_place_goal,0.3,2
0,0,0.789473684,-0.789473684,-0.099954927,0.080826466,0,0.05173435,0.099848317,0,0,0,-20.1385846,3.646381864,3.588853643,0.179250043,place_place_place,0.1,2
0,0,-0.789473684,0.789473684,-0.099954927,0.080826466,0,0.05173435,0.099848317,0,0,0,-20.1385846,3.646381864,3.58885401,0.179250043,place_place_place,0.1,2
0,0,-0.789473684,0.789473684,0.897251643,0.886817737,0,0.265670295,0.147180661,0,0,0,-23.25881933,11.72136677,3.675858461,0.147449549,unif_unif_unif,0.3,2
0,0,0.789473684,-0.789473684,0.897251643,0.886817737,0,0.265670295,0.147180661,0,0,0,-23.25881933,11.72136677,3.675858476,0.147449549,unif_unif_unif,0.3,2
0,0,0.789473684,-0.789473684,0.512809797,0.54689029,0,0.170996126,0.12140607,0,0,0,-23.61123843,6.136800378,3.309982978,0.105001624,place_goal_source,0.2,2
0,0,-0.789473684,0.789473684,0.512809797,0.54689029,0,0.170996126,0.12140607,0,0,0,-23.61123843,6.136800378,3.309982472,0.105001624,place_goal_source,0.2,2
0,0,-0.789473684,-1.842105263,0.399750479,0.445025142,0,0.113366837,0.100578053,0,0,0,-21.62381024,3.632539787,3.711628666,0.12445034,source_place_goal,0.2,2
0,0,0.789473684,1.842105263,0.399750479,0.445025142,0,0.113366837,0.100578053,0,0,0,-21.62381024,3.632539787,3.711628771,0.12445034,source_place_goal,0.2,2
0,0,1.315789474,2.368421053,-0.29810641,-0.136950827,0,0.078486248,0.087276888,0,0,0,-14.85200629,1.127860626,3.734439538,0.153839148,source_place_goal,0.1,2
0,0,-1.315789474,-2.368421053,-0.29810641,-0.136950827,0,0.078486248,0.087276888,0,0,0,-14.85200629,1.127860626,3.734439538,0.153839148,source_place_goal,0.1,2
0,0,-0.789473684,0.789473684,0.738727931,0.676072124,0,0.167350663,0.132204661,0,0,0,-10.16173978,2.612226007,3.809557984,0.140295093,source_goal_place,0.3,2
0,0,0.789473684,-0.789473684,0.738727931,0.676072124,0,0.167350663,0.132204661,0,0,0,-10.16173978,2.612226007,3.809558174,0.140295093,source_goal_place,0.3,2
0,0,-1.315789474,-2.368421053,0.29616599,0.352857752,0,0.066273849,0.092423945,0,0,0,-19.78787426,2.231348309,3.857264147,0.168557493,source_place_goal,0.2,2
0,0,1.315789474,2.368421053,0.29616599,0.352857752,0,0.066273849,0.092423945,0,0,0,-19.78787426,2.231348309,3.857264147,0.168557493,source_place_goal,0.2,2
0,0,-1.315789474,-2.368421053,0.651318527,0.61695265,0,0.138506246,0.13262086,0,0,0,-16.01350851,2.257174926,3.88119623,0.201303921,source_goal_place,0.3,2
0,0,1.315789474,2.368421053,0.651318527,0.61695265,0,0.138506246,0.13262086,0,0,0,-16.01350851,2.257174926,3.881196635,0.201303921,source_goal_place,0.3,2
0,0,-0.789473684,-1.842105263,-0.230470532,-0.068593762,0,0.051111025,0.086490593,0,0,0,-15.99367928,1.549573342,3.963386573,0.137941998,source_goal_place,0.1,2
0,0,0.789473684,1.842105263,-0.230470532,-0.068593762,0,0.051111025,0.086490593,0,0,0,-15.99367928,1.549573342,3.963386678,0.137941998,source_goal_place,0.1,2
0,0,-0.789473684,-1.315789474,0.863228882,0.80504385,0,0.247565098,0.162017109,0,0,0,-19.20910415,8.404079473,3.964393265,0.124136105,goal_place_source,0.3,2
0,0,0.789473684,1.315789474,0.863228882,0.80504385,0,0.247565098,0.162017109,0,0,0,-19.20910415,8.404079473,3.964393358,0.124136105,goal_place_source,0.3,2
0,0,0.263157895,-0.789473684,0.876401902,0.786148342,0,0.225533492,0.15645175,0,0,0,-13.76811711,6.50999246,3.971682234,0.151854133,source_goal_place,0.3,2
0,0,-0.263157895,0.789473684,0.876401902,0.786148342,0,0.225533492,0.15645175,0,0,0,-13.76811711,6.50999246,3.971682645,0.151854133,source_goal_place,0.3,2
0,0,0.789473684,1.842105263,0.642900427,0.605033954,0,0.136273189,0.122443138,0,0,0,-8.500197423,2.150136344,3.972681261,0.217309028,goal_source_place,0.3,2
0,0,-0.789473684,-1.842105263,0.642900427,0.605033954,0,0.136273189,0.122443138,0,0,0,-8.500197423,2.150136344,3.972681304,0.217309028,goal_source_place,0.3,2
0,0,0.789473684,-0.789473684,-0.049717634,0.080922014,0,0.044124498,0.087884881,0,0,0,-16.77627379,2.351518574,3.983955524,0.168374661,goal_source_place,0.1,2
0,0,-0.789473684,0.789473684,-0.049717634,0.080922014,0,0.044124498,0.087884881,0,0,0,-16.77627379,2.351518574,3.983955876,0.168374661,goal_source_place,0.1,2
0,0,0.789473684,-1.315789474,0.704381184,0.692259893,0,0.202297447,0.149367768,0,0,0,-23.8726923,6.831943017,4.050177732,0.213901288,goal_place_source,0.3,2
0,0,-0.789473684,1.315789474,0.704381184,0.692259893,0,0.202297447,0.149367768,0,0,0,-23.8726923,6.831943017,4.050178033,0.213901288,goal_place_source,0.3,2
0,0,-0.263157895,0.789473684,0.903681011,0.805087646,0,0.230341115,0.162630257,0,0,0,-13.13709236,7.294806708,4.053308869,0.153813198,goal_source_place,0.3,2
0,0,0.263157895,-0.789473684,0.903681011,0.805087646,0,0.230341115,0.162630257,0,0,0,-13.13709236,7.294806708,4.053308953,0.153813198,goal_source_place,0.3,2
0,0,-0.263157895,0.789473684,0.87605116,0.794824372,0,0.232988907,0.157859513,0,0,0,-14.79645646,7.716486117,4.068631612,0.160400689,source_place_goal,0.3,2
0,0,0.263157895,-0.789473684,0.87605116,0.794824372,0,0.232988907,0.157859513,0,0,0,-14.79645646,7.716486117,4.068631697,0.160400689,source_place_goal,0.3,2
0,0,-0.789473684,-1.315789474,0.927197679,0.836179536,0,0.248846643,0.173520774,0,0,0,-11.36008045,9.334380608,4.097780104,0.14066387,source_place_goal,0.3,2
0,0,0.789473684,1.315789474,0.927197679,0.836179536,0,0.248846643,0.173520774,0,0,0,-11.36008045,9.334380608,4.097780119,0.14066387,source_place_goal,0.3,2
0,0,0.789473684,1.315789474,0.825071341,0.741190912,0,0.198880893,0.145056194,0,0,0,-11.67829635,4.264029476,4.140477715,0.129640416,goal_source_place,0.3,2
0,0,-0.789473684,-1.315789474,0.825071341,0.741190912,0,0.198880893,0.145056194,0,0,0,-11.67829635,4.264029476,4.140477757,0.129640416,goal_source_place,0.3,2
0,0,0.789473684,1.842105263,0.794588248,0.821323517,0,0.238935479,0.13791963,0,0,0,-27.4545396,11.11509925,4.156863644,0.184175922,unif_unif_unif,0.3,2
0,0,-0.789473684,-1.842105263,0.794588248,0.821323517,0,0.238935479,0.13791963,0,0,0,-27.4545396,11.11509925,4.15686402,0.184175922,unif_unif_unif,0.3,2
0,0,0.789473684,-0.789473684,-0.004166965,0.128329667,0,0.060000336,0.08864834,0,0,0,-18.96232625,3.155081974,4.177471314,0.168513013,place_source_goal,0.1,2
0,0,-0.789473684,0.789473684,-0.004166965,0.128329667,0,0.060000336,0.08864834,0,0,0,-18.96232625,3.155081974,4.177471481,0.168513013,place_source_goal,0.1,2
0,0,-0.263157895,0.789473684,0.914019138,0.822102631,0,0.239977299,0.165543682,0,0,0,-13.54344971,8.884044712,4.177563578,0.16056403,place_source_goal,0.3,2
0,0,0.263157895,-0.789473684,0.914019138,0.822102631,0,0.239977299,0.165543682,0,0,0,-13.54344971,8.884044712,4.177563743,0.16056403,place_source_goal,0.3,2
