,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
181,181,0,1,0,0,0,1,1,0,0,0.06967934411260579,0.5695221133579703,simulated182,simulated,0.10568365192759432,3.0,3.0
182,182,0,0,1,1,0,1,0,1,0,0.06634439697736105,0.6062919670199228,simulated183,simulated,0.11972091211074347,2.0,2.0
183,183,0,1,1,0,0,1,1,0,0,0.11265985124558953,0.6280371712920189,simulated184,simulated,0.08189604340050444,2.0,2.0
184,184,0,1,0,0,0,0,0,1,0,0.06777319751050602,0.4740698144685993,simulated185,simulated,0.07934183531061703,2.0,2.0
185,185,0,0,1,0,1,0,1,1,1,0.0933132881456462,0.538748714645384,simulated186,simulated,0.07403206073674991,3.0,3.0
186,186,0,0,1,0,0,1,1,1,1,0.1211456846588429,0.481763545020328,simulated187,simulated,0.030616606237081095,2.0,2.0
187,187,0,1,0,0,1,1,0,1,0,0.10056718151092592,0.5852173386865055,simulated188,simulated,0.08080528960063453,2.0,2.0
188,188,0,1,1,0,1,0,1,1,1,0.13251766027487266,0.6690687617869215,simulated189,simulated,0.07297043780784826,3.0,3.0
189,189,0,1,0,0,0,1,1,1,1,0.09342312476245818,0.595943833683331,simulated190,simulated,0.09080481727987927,3.0,3.0
190,190,0,0,0,1,1,0,0,1,0,0.07598038102400606,0.5856250131396661,simulated191,simulated,0.10442474518085418,3.0,3.0
191,191,0,0,1,1,0,0,1,0,1,0.05338964738641383,0.6326808507849114,simulated192,simulated,0.1398869332934262,3.0,3.0
192,192,0,1,0,1,1,0,0,1,0,0.07578065048455118,0.6842895511734035,simulated193,simulated,0.13158293935021415,2.0,2.0
193,193,0,1,1,0,0,1,0,0,0,0.1253463867638558,0.5621790645973609,simulated194,simulated,0.0503281897604994,3.0,3.0
194,194,0,1,0,0,1,0,1,0,1,0.07852947399764254,0.6152018659128802,simulated195,simulated,0.1107080520503758,1.0,1.0
195,195,0,0,1,0,0,1,0,1,1,0.0999884382319347,0.3573467377991492,simulated196,simulated,0.014105337881168543,2.0,2.0
196,196,0,1,1,1,1,0,0,1,0,0.09238580150788378,0.6931424194944702,simulated197,simulated,0.11710098205603188,3.0,3.0
197,197,0,1,0,0,0,1,0,1,1,0.07869113490991242,0.515930081304622,simulated198,simulated,0.08125702476390759,3.0,3.0
198,198,0,1,1,0,1,1,1,1,1,0.15211883780296898,0.6784593293624382,simulated199,simulated,0.05561634181005693,2.0,2.0
199,199,0,0,1,0,1,0,1,0,0,0.07106182421836282,0.5045595806262121,simulated200,simulated,0.08520137282492563,3.0,3.0
200,200,0,1,0,0,0,0,1,1,0,0.08846319512120737,0.5661159029978189,simulated201,simulated,0.08673887313143072,3.0,3.0
201,201,0,1,1,1,0,0,1,1,0,0.04635317976081477,0.6931191600611106,simulated202,simulated,0.16218868169388792,2.0,2.0
202,202,0,0,0,0,1,1,0,1,0,0.05429739515370874,0.34823364372800497,simulated203,simulated,0.055078422311535334,3.0,3.0
203,203,0,1,1,0,1,0,0,1,0,0.13165508806378612,0.6215528329381528,simulated204,simulated,0.06182694251426321,2.0,2.0
204,204,0,0,0,0,1,0,0,0,0,0.03671174529358378,0.2442591584295155,simulated205,simulated,0.03980008773725412,2.0,2.0
205,205,0,1,0,1,1,0,1,1,0,0.06032623931042048,0.6930921037740332,simulated206,simulated,0.14848631722025854,2.0,2.0
206,206,0,0,1,1,1,1,1,1,1,0.07706523170484048,0.6856184438210696,simulated207,simulated,0.13060404270853493,2.0,2.0
