,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
11847,0,1,2,3,1,1,4,0,0,0.3745502931690725,1.4667969411605941,0.7176963548224491,2___2___5,simulated,simulated,simulated
19206,0,1,2,3,0,4,4,5,4,0.37454210242540853,1.5849736226165545,0.8358894177657374,2___2___6,simulated,simulated,simulated
17124,0,0,0,1,2,3,4,4,0,0.3745402999276637,1.3851745686459558,0.6360939687906284,2___2___5,simulated,simulated,simulated
15917,0,0,0,1,1,2,3,4,0,0.37454029992766324,1.3851745686459558,0.6360939687906293,2___2___5,simulated,simulated,simulated
16040,0,1,0,1,1,2,3,3,4,0.3745136658285937,1.3066163192168918,0.5575889875597044,2___2___5,simulated,simulated,simulated
17500,0,1,2,3,3,0,4,2,4,0.374509713793449,1.517662226681803,0.768642799094905,2___1___5,simulated,simulated,simulated
19157,0,1,2,3,1,2,1,4,5,0.37447494848947627,1.5379103998147219,0.7889605028357694,2___2___6,simulated,simulated,simulated
14680,0,1,2,3,2,4,4,4,1,0.37447212638149363,1.5346130185885634,0.7856687658255761,2___1___5,simulated,simulated,simulated
12290,0,1,2,2,1,1,3,1,4,0.3744359251898717,1.4801107546859857,0.7312389043062424,2___2___5,simulated,simulated,simulated
18103,0,1,1,1,2,3,3,4,5,0.37442216684360186,1.5788552895114198,0.8300109558242161,2___1___6,simulated,simulated,simulated
19340,0,1,2,3,3,4,0,5,4,0.3744209347721674,1.446754963967936,0.6979130944236012,2___3___6,simulated,simulated,simulated
20596,0,1,2,3,4,5,5,4,1,0.37442060809059496,1.677929725852049,0.929088509670859,2___2___6,simulated,simulated,simulated
18399,0,1,2,3,0,4,4,4,5,0.3744137102178282,1.4997768965842988,0.7509494761486424,2___1___6,simulated,simulated,simulated
14562,0,1,1,2,1,3,4,0,0,0.3744028552008509,1.466796941160594,0.717991230758892,2___2___5,simulated,simulated,simulated
11842,0,1,2,3,2,3,4,4,0,0.3744002577280878,1.5176622266818027,0.7688617112256271,2___1___5,simulated,simulated,simulated
15600,0,1,2,2,3,3,1,4,4,0.3743909776141958,1.545569849936055,0.7967878947076634,2___1___5,simulated,simulated,simulated
20408,0,1,2,2,3,2,1,4,5,0.3743835033322347,1.5849736226165543,0.8362066159520849,2___2___6,simulated,simulated,simulated
15413,0,1,0,2,0,0,3,3,4,0.3743694687344856,1.385174568645956,0.6364356311769848,2___2___5,simulated,simulated,simulated
15673,0,1,2,3,2,1,0,4,4,0.3743574158781604,1.4573405389871048,0.708625707230784,2___2___5,simulated,simulated,simulated
13711,0,1,2,0,3,2,4,4,0,0.37435317883674313,1.3240451265751751,0.5753387689016889,2___2___5,simulated,simulated,simulated
11887,0,1,1,2,1,1,3,2,4,0.3743186597340109,1.4788020915558044,0.7301647720877826,2___2___5,simulated,simulated,simulated
18518,0,1,2,1,2,3,4,0,5,0.37431763066031243,1.5386413511860428,0.790006089865418,2___1___6,simulated,simulated,simulated
11587,0,1,2,0,1,3,3,2,4,0.3743132889997487,1.382656881290364,0.6340303032908665,2___2___5,simulated,simulated,simulated
18717,0,1,0,2,0,3,3,4,5,0.3743113294215108,1.57885528951142,0.8302326306683985,2___1___6,simulated,simulated,simulated
20306,0,1,2,3,4,5,4,2,5,0.37430603381437977,1.6698779143525118,0.9212658467237522,2___2___6,simulated,simulated,simulated
7512,0,0,1,2,0,1,3,3,3,0.3742992006553125,1.2477601406773862,0.4991617393667611,2___2___4,simulated,simulated,simulated
16280,0,1,0,2,3,1,4,1,3,0.37429409379947143,1.5847397886894594,0.8361516010905166,2___2___5,simulated,simulated,simulated
7749,0,1,1,0,1,2,3,3,1,0.37427590880399375,1.1835292469941197,0.43497742938613215,2___2___4,simulated,simulated,simulated
13553,0,1,0,2,2,3,4,1,4,0.3742673765016735,1.470886192239314,0.7223514392359669,2___2___5,simulated,simulated,simulated
11542,0,1,2,3,3,4,4,1,2,0.3742657795493831,1.5230443624786616,0.7745128033798954,2___2___5,simulated,simulated,simulated
19005,0,1,1,2,0,3,4,0,5,0.37426575018014185,1.5136598528296268,0.7651283524693431,2___2___6,simulated,simulated,simulated
20213,0,1,2,3,4,3,5,4,0,0.3742638896971868,1.6500221025977966,0.9014943232034229,2___2___6,simulated,simulated,simulated
13433,0,1,2,1,0,2,3,4,3,0.3742638685754516,1.462834380739777,0.7143066435888739,2___2___5,simulated,simulated,simulated
12284,0,1,0,2,1,1,3,0,4,0.37425437127436245,1.466796941160594,0.718288198611869,2___2___5,simulated,simulated,simulated
14794,0,0,1,2,3,1,4,3,0,0.37424787680680294,1.5120875311311697,0.7635917775175638,2___3___5,simulated,simulated,simulated
5720,0,1,1,2,0,1,3,3,3,0.3742015602186535,1.3454154044701023,0.5970122840327954,2___2___4,simulated,simulated,simulated
19264,0,1,2,3,3,4,5,0,5,0.37419718347777664,1.510733727931791,0.7623393609762377,2___1___6,simulated,simulated,simulated
13737,0,1,0,0,0,1,2,3,4,0.37418053499855675,1.2414402088205245,0.49307913882341103,2___2___5,simulated,simulated,simulated
18644,0,1,0,2,3,0,1,4,5,0.37416836637403983,1.5849736226165543,0.8366368898684746,2___2___6,simulated,simulated,simulated
11592,0,1,2,0,1,3,2,3,4,0.3741672580065072,1.382656881290364,0.6343223652773495,2___2___5,simulated,simulated,simulated
15554,0,1,2,3,4,4,0,2,2,0.3741589787713744,1.4472788352271266,0.6989608776843779,2___2___5,simulated,simulated,simulated
6921,0,1,1,0,2,1,3,1,1,0.37414113525781434,1.2586784332240832,0.5103961627084546,2___3___4,simulated,simulated,simulated
19987,0,1,2,1,3,0,4,5,0,0.37413457040083076,1.5849736226165545,0.836704481814893,2___2___6,simulated,simulated,simulated
9881,0,1,1,1,1,1,2,3,3,0.3740943826591321,1.2721715808357372,0.523982815517473,3___2___4,simulated,simulated,simulated
4861,0,1,1,2,0,1,3,3,1,0.37408985462568367,1.3664452753976968,0.6182655661463294,2___2___4,simulated,simulated,simulated
12149,0,1,2,3,2,3,1,4,4,0.37408855807531016,1.545569849936055,0.7973927337854347,2___1___5,simulated,simulated,simulated
15677,0,0,1,0,1,0,2,3,4,0.37404239961301244,1.2414402088205245,0.49335540959449964,2___2___5,simulated,simulated,simulated
9914,0,1,2,0,0,1,3,2,2,0.3740045126258771,1.2159040782677932,0.46789505301603906,2___3___4,simulated,simulated,simulated
16883,0,1,2,0,3,3,2,4,3,0.3739971552901449,1.4193712119728743,0.6713769013925845,2___3___5,simulated,simulated,simulated
15436,0,0,1,2,0,2,3,3,4,0.3739876505653521,1.3066163192168918,0.5586410180861876,2___2___5,simulated,simulated,simulated
