,Unnamed: 0,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull,r patterns,theta patterns
104,104,0,1,0,0,0,1,0,0,0,0.07263524701082469,0.4788169433843986,simulated105,simulated,0.08575682655828673,3.0,3.0
105,105,0,1,1,0,1,1,1,0,0,0.11319614997379045,0.6678310100819598,simulated106,simulated,0.1082854619638244,1.0,1.0
106,106,0,1,1,1,1,0,1,1,1,0.09798269544792736,0.681524598404859,simulated107,simulated,0.12685954343880634,3.0,3.0
107,107,0,0,0,1,1,1,1,0,0,0.15028543913468914,0.6457403262011847,simulated108,simulated,0.06632716383707797,2.0,2.0
108,108,0,1,1,1,0,1,1,1,1,0.07658830722352139,0.6909056188596631,simulated109,simulated,0.15006906987781826,3.0,3.0
109,109,0,1,0,1,0,0,0,1,1,0.07942044172634044,0.6605665664459555,simulated110,simulated,0.13841362795998768,2.0,2.0
110,110,0,0,0,0,0,1,0,1,1,0.036790262176005006,0.19951213957620628,simulated111,simulated,0.027086262036219208,3.0,3.0
111,111,0,1,1,0,1,0,1,0,0,0.09637980336310092,0.6557824484866959,simulated112,simulated,0.12079991851178362,2.0,2.0
112,112,0,0,0,0,1,0,1,1,0,0.044058714294627536,0.4375540033061413,simulated113,simulated,0.09907155666804483,3.0,3.0
113,113,0,1,0,1,0,1,0,1,1,0.08502180644882162,0.6717175210963979,simulated114,simulated,0.13635326685923246,2.0,2.0
114,114,0,1,1,1,0,1,0,1,1,0.11155497388721693,0.6902207988538621,simulated115,simulated,0.11645728700770495,2.0,2.0
115,115,0,1,1,1,0,0,0,1,0,0.09479549276515432,0.6838826202130089,simulated116,simulated,0.13060407481384606,2.0,2.0
116,116,0,1,0,0,1,1,1,0,1,0.07334459796194381,0.6334605640585677,simulated117,simulated,0.13621786631688998,2.0,2.0
117,117,0,1,0,1,0,0,1,0,0,0.053297932931796084,0.6797104834505854,simulated118,simulated,0.169020329617965,2.0,2.0
118,118,0,1,1,1,0,0,1,0,0,0.05826553893639885,0.6925776473423528,simulated119,simulated,0.16807208072830312,1.0,1.0
119,119,0,1,0,1,0,0,1,1,1,0.056563549563967024,0.6870324805784188,simulated120,simulated,0.1680593330933126,3.0,3.0
120,120,0,0,1,1,0,1,1,0,0,0.08920817932111125,0.6447858061335415,simulated121,simulated,0.12440517367558247,3.0,3.0
121,121,0,0,1,1,1,1,1,0,1,0.13277262015093227,0.6796733766910636,simulated122,simulated,0.09307639591367443,3.0,3.0
122,122,0,1,1,1,0,1,1,0,0,0.06654161685804583,0.6930513770561259,simulated123,simulated,0.16030469673941192,2.0,2.0
123,123,0,0,0,1,0,0,1,1,1,0.09328304805984522,0.5963283375751248,simulated124,simulated,0.1051906458906184,2.0,2.0
124,124,0,0,1,0,1,1,1,0,1,0.08067385795920701,0.5425680876860245,simulated125,simulated,0.09930012472359884,3.0,3.0
125,125,0,1,0,1,0,1,1,1,1,0.056772745708926424,0.6911686190177975,simulated126,simulated,0.16908194967714496,2.0,2.0
126,126,0,0,1,0,1,0,0,0,1,0.08754036663354214,0.3999376194992469,simulated127,simulated,0.045573526629360483,2.0,2.0
127,127,0,1,1,1,1,0,1,1,0,0.0942039928840066,0.6832709897590086,simulated128,simulated,0.13098515123017596,2.0,2.0
128,128,0,1,0,1,0,0,0,1,0,0.08007705946713695,0.6574140371325601,simulated129,simulated,0.13685406993140328,2.0,2.0
129,129,0,0,0,0,0,1,0,1,0,0.032272524752408334,0.18171723693673889,simulated130,simulated,0.02547982450634966,3.0,3.0
130,130,0,0,1,1,1,1,0,0,0,0.18666104328171773,0.6413530481273906,simulated131,simulated,0.03027821374492937,2.0,2.0
131,131,0,1,1,1,1,1,0,0,0,0.16584584338173336,0.6931418334917945,simulated132,simulated,0.0654498260719575,2.0,2.0
132,132,0,1,0,0,1,0,1,1,0,0.07392269329097156,0.6267813833774498,simulated133,simulated,0.1335445058960826,2.0,2.0
133,133,0,0,1,1,1,1,0,1,1,0.17375658311787734,0.6573528410224252,simulated134,simulated,0.04733830618349928,3.0,3.0
134,134,0,1,0,0,1,0,0,0,1,0.08161078972687896,0.5434665887144954,simulated135,simulated,0.09869942018436266,2.0,2.0
135,135,0,1,0,1,0,1,0,1,0,0.08539603232992078,0.6691626530716968,simulated136,simulated,0.13524265755674286,1.0,1.0
136,136,0,1,1,1,0,1,0,1,0,0.10743553299449382,0.6892416834516746,simulated137,simulated,0.1201044007011648,2.0,2.0
137,137,0,1,1,1,1,1,0,1,1,0.1683961533509256,0.6915581537753858,simulated138,simulated,0.06254830229757127,2.0,2.0
138,138,0,1,1,0,0,0,1,1,1,0.12982950986693198,0.6300731844249745,simulated139,simulated,0.08125717153680044,2.0,2.0
139,139,0,1,0,0,1,1,1,0,0,0.07143663914756204,0.6291553972807915,simulated140,simulated,0.13667672869529118,2.0,2.0
140,140,0,1,0,1,0,1,1,0,0,0.05409504986573088,0.6864070368225739,simulated141,simulated,0.17023701144617692,2.0,2.0
141,141,0,0,0,0,1,1,1,0,1,0.05568362799206061,0.4524346783388488,simulated142,simulated,0.09302596913005892,3.0,3.0
142,142,0,1,1,0,1,1,0,1,1,0.16195497424638927,0.6428851403790256,simulated143,simulated,0.054344263442442295,1.0,1.0
143,143,0,0,0,0,0,1,1,1,1,0.04958547742300029,0.3709650865070399,simulated144,simulated,0.07180696181860775,2.0,2.0
144,144,0,0,1,0,1,1,0,0,1,0.11867023252025387,0.441395714774519,simulated145,simulated,0.0300494341241892,2.0,2.0
145,145,0,0,0,1,0,0,1,1,0,0.09657481559782832,0.5907482748462783,simulated146,simulated,0.10025774890378863,3.0,3.0
146,146,0,0,1,0,0,0,0,1,1,0.08029755491594848,0.3058857042411986,simulated147,simulated,0.02143825871345499,3.0,3.0
147,147,0,0,1,0,1,1,1,0,0,0.07578342005025895,0.5353974845975737,simulated148,simulated,0.10153513832509507,2.0,2.0
148,148,0,0,1,0,1,0,0,0,0,0.0828390834394016,0.3888895482487836,simulated149,simulated,0.04634828994346248,3.0,3.0
149,149,0,0,0,1,1,1,0,1,0,0.18125222349476866,0.6075996993489771,simulated150,simulated,0.025485213079369427,2.0,2.0
150,150,0,0,0,0,0,0,1,1,0,0.05230954065642246,0.30786141436599845,simulated151,simulated,0.04834449328257222,2.0,2.0
151,151,0,0,0,0,0,0,0,0,1,0.008212712873124542,0.03631018261552811,simulated152,simulated,0.0,2.0,2.0
152,152,0,1,0,1,1,1,0,0,1,0.14487632974457165,0.6865558337180379,simulated153,simulated,0.08354515094021785,3.0,3.0
153,153,0,1,1,0,0,0,1,0,0,0.10542845906821464,0.6089562052219593,simulated154,simulated,0.09791918724272414,2.0,2.0
154,154,0,0,0,1,0,0,0,1,0,0.11896287300337305,0.508582742117275,simulated155,simulated,0.05194859330738131,3.0,3.0
155,155,0,0,1,1,0,0,0,0,0,0.11492283182953099,0.5626342835282597,simulated156,simulated,0.07361703603109475,3.0,3.0
