,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],Language,Area,dist_to_hull
70,0,1,1,0,1,1,0,0,0,0.14715458857602237,0.6240263427125126,simulated,simulated,0.06291268679542708
71,0,1,1,1,1,0,0,0,1,0.13948863473070094,0.6926201832420764,simulated,simulated,0.09047791869889481
72,0,0,1,1,0,1,0,1,1,0.12078664483113899,0.6113814901424162,simulated,simulated,0.08422388617335137
73,0,0,0,1,0,1,1,0,0,0.10734781958609219,0.5937613195976562,simulated,simulated,0.09110715313588608
74,0,1,0,0,0,0,0,1,1,0.08414195156139104,0.48287084296211413,simulated,simulated,0.07625778418602126
75,0,0,0,1,1,0,0,1,1,0.15816428948067007,0.5913612022067437,simulated,simulated,0.042326189845079985
76,0,0,1,0,0,1,0,0,1,0.09651295313700486,0.31312229897051924,simulated,simulated,0.008661586209643768
77,0,1,0,1,1,0,0,1,1,0.12351395919695418,0.6858031687115893,simulated,simulated,0.10373048132507613
78,0,1,0,0,0,1,0,0,1,0.07554120859844449,0.48749369627571637,simulated,simulated,0.08593280090566834
79,0,1,1,0,0,1,0,0,1,0.13759788768154146,0.5686029964061227,simulated,simulated,0.05419761717284281
80,0,1,1,0,1,1,1,0,1,0.11951277689257844,0.670459517264961,simulated,simulated,0.10302321349008609
81,0,1,0,0,0,0,1,0,0,0.06696618987928515,0.5427020564210642,simulated,simulated,0.11226296051196108
82,0,0,0,1,1,0,1,1,0,0.12643784936602653,0.643712512588928,simulated,simulated,0.08852032362672692
83,0,1,1,0,1,0,0,1,1,0.14023715349628807,0.626129131102219,simulated,simulated,0.07014213498002207
84,0,1,1,1,0,0,1,1,1,0.06869227319372428,0.6929601075318355,simulated,simulated,0.15822038515359027
85,0,0,1,0,1,0,1,0,1,0.05848965561706354,0.5125586357821353,simulated,simulated,0.1103027744810441
86,0,1,0,0,1,1,0,0,0,0.09674797130160451,0.5638271957678137,simulated,simulated,0.09115725533903159
87,0,1,1,0,1,0,1,0,1,0.10238299004468698,0.6590104161961555,simulated,simulated,0.11601671647077007
88,0,1,0,1,1,0,1,0,0,0.08737145830702375,0.6926747072853636,simulated,simulated,0.14028804496775799
89,0,0,1,0,1,1,0,1,0,0.10944303207451833,0.46485889346087017,simulated,simulated,0.046418693117488134
