Language,uid,deictic_index
"Khoekhoe, Nama (Khoe-Kwadi)",4,1
"Khoekhoe, Nama (Khoe-Kwadi)",0,2
"Khoekhoe, Nama (Khoe-Kwadi)",3,6
"Khoekhoe, Nama (Khoe-Kwadi)",5,7
"Khoekhoe, Nama (Khoe-Kwadi)",1,8
"Khwarshi (Nakh-Daghestanian, Tsezic)",7,3
"Khwarshi (Nakh-Daghestanian, Tsezic)",1,4
"Khwarshi (Nakh-Daghestanian, Tsezic)",4,5
"Khwarshi (Nakh-Daghestanian, Tsezic)",6,0
"Khwarshi (Nakh-Daghestanian, Tsezic)",0,1
"Khwarshi (Nakh-Daghestanian, Tsezic)",3,2
"Khwarshi (Nakh-Daghestanian, Tsezic)",8,6
"Khwarshi (Nakh-Daghestanian, Tsezic)",2,7
"Khwarshi (Nakh-Daghestanian, Tsezic)",5,8
"Kikuyu (Atlantic-Congo, Bantu)",1,3
"Kikuyu (Atlantic-Congo, Bantu)",0,4
"Kikuyu (Atlantic-Congo, Bantu)",2,5
"Kikuyu (Atlantic-Congo, Bantu)",1,0
"Kikuyu (Atlantic-Congo, Bantu)",0,1
"Kikuyu (Atlantic-Congo, Bantu)",2,2
"Kikuyu (Atlantic-Congo, Bantu)",1,6
"Kikuyu (Atlantic-Congo, Bantu)",0,7
"Kikuyu (Atlantic-Congo, Bantu)",2,8
Koyra Chiini (Songhay),2,3
Koyra Chiini (Songhay),0,4
Koyra Chiini (Songhay),1,5
Koyra Chiini (Songhay),2,0
Koyra Chiini (Songhay),0,1
Koyra Chiini (Songhay),1,2
Koyra Chiini (Songhay),2,6
Koyra Chiini (Songhay),0,7
Koyra Chiini (Songhay),1,8
Koyraboro Senni (Songhay),0,3
Koyraboro Senni (Songhay),2,4
Koyraboro Senni (Songhay),1,5
Koyraboro Senni (Songhay),0,0
Koyraboro Senni (Songhay),2,1
Koyraboro Senni (Songhay),1,2
Koyraboro Senni (Songhay),0,6
Koyraboro Senni (Songhay),2,7
Koyraboro Senni (Songhay),1,8
Lango (Nilotic),4,3
Lango (Nilotic),5,4
Lango (Nilotic),3,5
Lango (Nilotic),4,0
Lango (Nilotic),5,1
Lango (Nilotic),3,2
Lango (Nilotic),1,6
Lango (Nilotic),2,7
Lango (Nilotic),0,8
"Latvian (Indo-European, Baltic)",3,3
"Latvian (Indo-European, Baltic)",4,4
"Latvian (Indo-European, Baltic)",4,5
"Latvian (Indo-European, Baltic)",2,0
"Latvian (Indo-European, Baltic)",4,1
"Latvian (Indo-European, Baltic)",4,2
"Latvian (Indo-European, Baltic)",0,6
"Latvian (Indo-European, Baltic)",1,7
"Latvian (Indo-European, Baltic)",1,8
"Lezgian (Nakh-Daghestanian, Daghestanian)",5,3
"Lezgian (Nakh-Daghestanian, Daghestanian)",2,4
"Lezgian (Nakh-Daghestanian, Daghestanian)",2,5
"Lezgian (Nakh-Daghestanian, Daghestanian)",3,0
"Lezgian (Nakh-Daghestanian, Daghestanian)",0,1
"Lezgian (Nakh-Daghestanian, Daghestanian)",0,2
"Lezgian (Nakh-Daghestanian, Daghestanian)",4,6
"Lezgian (Nakh-Daghestanian, Daghestanian)",1,7
"Lezgian (Nakh-Daghestanian, Daghestanian)",1,8
"Lithuanian (Indo-European, Baltic)",0,3
"Lithuanian (Indo-European, Baltic)",3,4
"Lithuanian (Indo-European, Baltic)",3,5
"Lithuanian (Indo-European, Baltic)",0,0
"Lithuanian (Indo-European, Baltic)",3,1
"Lithuanian (Indo-European, Baltic)",3,2
"Lithuanian (Indo-European, Baltic)",1,6
"Lithuanian (Indo-European, Baltic)",2,7
"Lithuanian (Indo-European, Baltic)",2,8
Loma (Mande),1,3
Loma (Mande),0,4
Loma (Mande),0,5
Loma (Mande),1,0
Loma (Mande),0,1
Loma (Mande),0,2
Loma (Mande),1,6
Loma (Mande),0,7
Loma (Mande),0,8
"Low German (Indo-European, Germanic)",4,3
"Low German (Indo-European, Germanic)",1,4
"Low German (Indo-European, Germanic)",1,5
"Low German (Indo-European, Germanic)",3,0
"Low German (Indo-European, Germanic)",0,1
"Low German (Indo-European, Germanic)",0,2
"Low German (Indo-European, Germanic)",4,6
"Low German (Indo-European, Germanic)",2,7
"Low German (Indo-European, Germanic)",2,8
Luo (Nilotic),1,3
Luo (Nilotic),3,4
Luo (Nilotic),0,5
Luo (Nilotic),1,0
Luo (Nilotic),3,1
Luo (Nilotic),2,2
Luo (Nilotic),1,6
Luo (Nilotic),3,7
Luo (Nilotic),0,8
"Ma’di (Central Sudanic, Moru-Madi)",0,3
"Ma’di (Central Sudanic, Moru-Madi)",2,4
"Ma’di (Central Sudanic, Moru-Madi)",4,5
"Ma’di (Central Sudanic, Moru-Madi)",0,0
"Ma’di (Central Sudanic, Moru-Madi)",2,1
"Ma’di (Central Sudanic, Moru-Madi)",4,2
"Ma’di (Central Sudanic, Moru-Madi)",1,6
"Ma’di (Central Sudanic, Moru-Madi)",3,7
"Ma’di (Central Sudanic, Moru-Madi)",5,8
Maale (Ta-Ne-Omotic),0,3
Maale (Ta-Ne-Omotic),2,4
Maale (Ta-Ne-Omotic),2,5
Maale (Ta-Ne-Omotic),0,0
Maale (Ta-Ne-Omotic),2,1
Maale (Ta-Ne-Omotic),2,2
Maale (Ta-Ne-Omotic),1,6
Maale (Ta-Ne-Omotic),3,7
Maale (Ta-Ne-Omotic),3,8
"Macedonian (Indo-European, Slavic)",6,3
"Macedonian (Indo-European, Slavic)",0,4
"Macedonian (Indo-European, Slavic)",1,5
"Macedonian (Indo-European, Slavic)",6,0
"Macedonian (Indo-European, Slavic)",7,1
"Macedonian (Indo-European, Slavic)",4,2
"Macedonian (Indo-European, Slavic)",3,6
"Macedonian (Indo-European, Slavic)",5,7
"Macedonian (Indo-European, Slavic)",2,8
"Malagasy (Austronesian, Greater Barito)",3,3
"Malagasy (Austronesian, Greater Barito)",2,4
"Malagasy (Austronesian, Greater Barito)",1,5
"Malagasy (Austronesian, Greater Barito)",3,0
"Malagasy (Austronesian, Greater Barito)",2,1
"Malagasy (Austronesian, Greater Barito)",1,2
"Malagasy (Austronesian, Greater Barito)",3,6
"Malagasy (Austronesian, Greater Barito)",2,7
"Malagasy (Austronesian, Greater Barito)",0,8
"Maltese (Afro-Asiatic, Semitic)",0,3
"Maltese (Afro-Asiatic, Semitic)",1,4
"Maltese (Afro-Asiatic, Semitic)",1,5
"Maltese (Afro-Asiatic, Semitic)",0,0
"Maltese (Afro-Asiatic, Semitic)",1,1
"Maltese (Afro-Asiatic, Semitic)",1,2
"Maltese (Afro-Asiatic, Semitic)",2,6
"Maltese (Afro-Asiatic, Semitic)",3,7
"Maltese (Afro-Asiatic, Semitic)",3,8
"Mambay (Atlantic-Congo, Mbumic)",0,3
"Mambay (Atlantic-Congo, Mbumic)",3,4
"Mambay (Atlantic-Congo, Mbumic)",3,5
"Mambay (Atlantic-Congo, Mbumic)",1,0
"Mambay (Atlantic-Congo, Mbumic)",2,1
"Mambay (Atlantic-Congo, Mbumic)",2,2
"Mambay (Atlantic-Congo, Mbumic)",1,6
"Mambay (Atlantic-Congo, Mbumic)",2,7
"Mambay (Atlantic-Congo, Mbumic)",2,8
"Miya (Afro-Asiatic, Chadic)",3,3
"Miya (Afro-Asiatic, Chadic)",2,4
"Miya (Afro-Asiatic, Chadic)",2,5
"Miya (Afro-Asiatic, Chadic)",3,0
"Miya (Afro-Asiatic, Chadic)",2,1
"Miya (Afro-Asiatic, Chadic)",2,2
"Miya (Afro-Asiatic, Chadic)",0,6
"Miya (Afro-Asiatic, Chadic)",1,7
"Miya (Afro-Asiatic, Chadic)",1,8
"Munukutuba (Atlantic-Congo, Bantu)",0,3
"Munukutuba (Atlantic-Congo, Bantu)",1,4
"Munukutuba (Atlantic-Congo, Bantu)",1,5
"Munukutuba (Atlantic-Congo, Bantu)",0,0
"Munukutuba (Atlantic-Congo, Bantu)",1,1
"Munukutuba (Atlantic-Congo, Bantu)",1,2
"Munukutuba (Atlantic-Congo, Bantu)",0,6
"Munukutuba (Atlantic-Congo, Bantu)",1,7
"Munukutuba (Atlantic-Congo, Bantu)",1,8
"Ngizim (Afro-Asiatic, Chadic)",7,3
"Ngizim (Afro-Asiatic, Chadic)",6,4
"Ngizim (Afro-Asiatic, Chadic)",8,5
"Ngizim (Afro-Asiatic, Chadic)",1,0
"Ngizim (Afro-Asiatic, Chadic)",0,1
"Ngizim (Afro-Asiatic, Chadic)",2,2
"Ngizim (Afro-Asiatic, Chadic)",4,6
"Ngizim (Afro-Asiatic, Chadic)",3,7
"Ngizim (Afro-Asiatic, Chadic)",5,8
Nobiin (Nubian),0,3
Nobiin (Nubian),2,4
Nobiin (Nubian),2,5
Nobiin (Nubian),0,0
Nobiin (Nubian),2,1
Nobiin (Nubian),2,2
Nobiin (Nubian),1,6
Nobiin (Nubian),3,7
Nobiin (Nubian),3,8
"Norwegian (Indo-European, Germanic)",5,3
"Norwegian (Indo-European, Germanic)",2,4
"Norwegian (Indo-European, Germanic)",2,5
"Norwegian (Indo-European, Germanic)",3,0
"Norwegian (Indo-European, Germanic)",0,1
"Norwegian (Indo-European, Germanic)",0,2
"Norwegian (Indo-European, Germanic)",4,6
